1ci-smcs	['3091']
ovalarmsrv-cmd	['2954']
ovbus	['7501']
oveadmgr	['7427']
ovhpas	['7510']
ovladmgr	['7428']
ovobs	['30999']
ovrimosdbman	['2956']
ovsam-d-agent	['3870']
ovsam-mgmt	['3869']
ovsdb	['6640']
ovsessionmgr	['2389']
ovtopmd	['2532']
ovwdb	['2447']
owamp-control	['861']
owms	['7878']
owserver	['4304']
p-net-local	['34378']
p-net-remote	['34379']
p25cai	['6082']
p2pcommunity	['3955']
p2pgroup	['3587']
p2pq	['1981']
p4p-portal	['6671']
p6ssmc	['4311']
pace-licensed	['31400']
pacerforum	['1480']
pacmand	['1307']
pacom	['3435']
padl2sim	['5236']
pads	['7237']
pafec-lm	['7511']
paging-port	['3771']
pago-services1	['30001']
pago-services2	['30002']
palace-1	['9992']
palace-2	['9993']
palace-3	['9994']
palace-4	['9995']
palace-5	['9996']
palace-6	['9997']
palcom-disc	['6657']
pammratc	['1632']
pammrpc	['1633']
pana	['716']
panagolin-ident	['9021']
panasas	['3095']
pando-pub	['7680']
pando-sec	['8276']
pangolin-laser	['3348']
paradym-31port	['1864']
paragent	['9022']
parallel	['4989']
park-agent	['5431']
parliant	['4681']
parsec-game	['6582']
parsec-master	['6580']
parsec-peer	['6581']
partimage	['4025']
passgo	['511']
passgo-tivoli	['627']
password-chg	['586']
passwrd-policy	['1333']
patrol	['8160']
patrol-coll	['6162']
patrol-ism	['6161']
patrol-mq-gm	['2664']
patrol-mq-nm	['2665']
patrol-snmp	['8161']
patrolview	['4097']
pawserv	['345']
pay-per-view	['1564']
paycash-online	['8128']
paycash-wbp	['8129']
payrouter	['1246']
pc-mta-addrmap	['2246']
pc-telecommute	['2299']
pcanywheredata	['5631']
pcanywherestat	['5632']
pcc-image-port	['3892']
pcc-mfp	['2256']
pcep	['4189']
pcia-rxp-b	['1332']
pciarray	['1552']
pcihreq	['3085']
pcle-infex	['3189']
pclemultimedia	['2558']
pcmail-srv	['158']
pcmk-remote	['3121']
pcoip	['4172']
pcoip-mgmt	['5172']
pconnectmgr	['1562']
pcp	['5351']
pcp-multicast	['5350']
pcptcpservice	['4182']
pcs-pcw	['2566']
pcs-sf-ui-man	['6655']
pcsync-http	['8444']
pcsync-https	['8443']
pctrader	['3048']
pcttunnell	['2274']
pd-admin	['9597']
pda-data	['3253']
pda-gate	['4012']
pda-sys	['3254']
pdap	['344']
pdap-np	['1526']
pdb	['3033']
pdefmns	['16311']
pdnet	['2843']
pdp	['1675']
pdps	['1314']
pdrncs	['3299']
pds	['9595']
pdtp	['6086']
pduncs	['16310']
pe-mike	['1305']
pearldoc-xact	['1980']
peerbook-port	['3135']
peerwire	['9104']
pegasus	['9278']
pegasus-ctl	['9279']
pegboard	['1357']
pehelp	['2307']
pentbox-sim	['6817']
peocoll	['9631']
peoctlr	['9630']
peport	['1449']
perf-port	['1995']
perfd	['5227']
perimlan	['4075']
periscope	['1230']
permabit-cs	['5312']
perrla	['4313']
persona	['1916']
personal-agent	['5555']
personal-link	['281']
personalos-001	['3557']
personnel	['3109']
pfcp	['8805']
pftp	['662']
pfu-prcallback	['3208']
pgbouncer	['6432']
pgps	['9280']
ph	['481']
pharmasoft	['1779']
pharos	['4443']
philips-vc	['583']
phoenix-rpc	['3347']
phonebook	['767']
phonex-port	['3177']
photuris	['468']
phrelay	['4868']
phrelaydbg	['4869']
piccolo	['2787']
pichat	['9009']
picknfs	['1598']
picodbc	['1603']
pictrography	['1280']
pim-port	['8471']
pim-rp-disc	['496']
pinghgl	['4306']
pip	['321','1321']
pipes	['1465']
piranha1	['4600']
piranha2	['4601']
pirp	['553']
pit-vpn	['2865']
pixelpusher	['5078']
pjlink	['4352']
pk	['5272']
pk-electronics	['2634']
pkagent	['3118']
pkix-3-ca-ra	['829']
pkix-cmc	['5318']
pkix-timestamp	['318']
pkt-krb-ipsec	['1293']
pktcable-cops	['2126']
pktcablemmcops	['3918']
plato	['3285']
plato-lm	['1819']
playsta2-app	['4658']
playsta2-lob	['4659']
plbserve-port	['3933']
plcy-net-svcs	['4351']
plethora	['3480']
plex	['32400']
plgproxy	['2790']
pluribus	['3469']
plysrv-http	['6770']
plysrv-https	['6771']
pm-cmdsvr	['5112']
pmas	['4066']
pmcd	['44321']
pmcdproxy	['44322']
pmcp	['3821']
pmcs	['6355']
pmd	['7431']
pmdfmgt	['7633']
pmdmgr	['7426']
pmip6-cntl	['5436']
pmip6-data	['5437']
pmsm-webrctl	['2972']
pmwebapi	['44323']
pn-requester	['2717']
pn-requester2	['2718']
pnaconsult-lm	['2937']
pnbs	['6124']
pnbscada	['3875']
pnet-conn	['7797']
pnet-enc	['7798']
pnrp-port	['3540']
pns	['2487']
polestar	['1060']
policyserver	['3055']
pon-ictp	['7202']
pop2	['109']
pop3	['110']
pop3s	['995']
popup-reminders	['7787']
portgate-auth	['3710']
postgresql	['5432']
pov-ray	['494']
powerburst	['485']
powerclientcsf	['2443']
powerexchange	['2480']
powergemplus	['2899']
powerguardian	['1777']
poweronnud	['3168']
powerschool	['5071']
powwow-client	['13223']
powwow-server	['13224']
ppactivation	['5134']
ppcontrol	['2505']
ppsms	['3967']
ppsuitemsg	['5863']
pptconference	['1711']
pptp	['1723']
pq-lic-mgmt	['2687']
pqsflows	['9640']
pqsp	['28001']
prRegister	['4457']
pra-elmd	['1587']
prat	['1264']
prchat-server	['4456']
prchat-user	['4455']
precise-comm	['5630']
precise-i3	['3607']
precise-sft	['2315']
precise-vip	['2924']
predatar-comms	['1753']
prelude	['4690']
presence	['5298']
presonus-ucnet	['47809']
press	['3582']
prex-tcp	['4487']
prgp	['7747']
primaserver	['6105']
princity-agent	['6716']
print-srv	['170']
printer	['515']
printer-agent	['3396']
printopia	['10631']
priority-e-com	['2618']
prism-deploy	['3133']
prismiq-plugin	['3650']
privateark	['1858']
privatechat	['1735']
privatewire	['4449']
privilege	['2588']
privoxy	['8118']
prizma	['2039']
prm-nm	['409']
prm-nm-np	['1403']
prm-sm	['408']
prm-sm-np	['1402']
prnrequest	['3910']
prnstatus	['3911']
pro-ed	['8032']
proactivate	['24678']
proactivesrvr	['2722']
proaxess	['3961']
procos-lm	['3248']
prodigy-intrnet	['1778']
productinfo	['1283']
profile	['136']
profilemac	['4749']
profinet-cm	['34964']
profinet-rt	['34962']
profinet-rtm	['34963']
progistics	['3973']
programmar	['15999']
prolink	['1678']
proofd	['1093']
propel-msgsys	['1268']
proremote	['8183']
proshare-mc-1	['1673']
proshare-mc-2	['1674']
proshare1	['1459']
proshare2	['1460']
proshareaudio	['5713']
prosharedata	['5715']
prosharenotify	['5717']
prosharerequest	['5716']
prosharevideo	['5714']
prospero	['191']
proxim	['1732']
proxima-lm	['1445']
proxy-gateway	['2303']
prp	['2091']
prsvp	['3455']
ps-ams	['3658']
psbserver	['2350']
pscl-mgt	['4312']
pscribe	['6163']
pscupd	['3453']
psdbserver	['2355']
pserver	['3662']
psi-ptt	['4374']
psl-management	['5507']
pslicser	['4168']
pslserver	['2352']
psmond	['1788']
psprserver	['2354']
pspserver	['2353']
psrserver	['2351']
pss	['7880']
pssc	['645']
pt-tls	['271']
pt2-discover	['1101']
ptcnameservice	['597']
ptk-alink	['3089']
ptp	['15740']
ptp-event	['319']
ptp-general	['320']
publiqare-sync	['4329']
pulsonixnls	['6140']
pump	['751']
pumpkindb	['9981']
puppet	['8140']
purenoise	['663']
purityrpc	['8117']
pushns	['7997']
pvaccess	['5075']
pvsw	['2520']
pvsw-inet	['2441']
pvuniwien	['1081']
pvxpluscs	['4093']
pvxplusio	['4193']
pwdgen	['129']
pwdis	['3735']
pwgippfax	['3951']
pwgpsi	['3800']
pwgwims	['4951']
pwrsevent	['2694']
pxc-epmap	['2434']
pxc-ntfy	['3009']
pxc-pin	['4005']
pxc-roid	['4004']
pxc-sapxom	['2680']
pxc-splr	['4007']
pxc-splr-ft	['4003']
pxc-spvr	['4006']
pxc-spvr-ft	['4002']
pyrrho	['5433']
q3ade	['7794']
q55-pcc	['1253']
qadmifevent	['2462']
qadmifoper	['2461']
qb-db-server	['10160']
qbdb	['8019']
qbikgdp	['368']
qcp	['5082']
qdb2service	['45825']
qencp	['2120']
qfp	['5083']
qft	['189']
qftest-lookup	['3543']
qip-audup	['2765']
qip-login	['2366']
qip-msgd	['2468']
qip-qdhcp	['2490']
qke-llc-v3	['2523']
qmqp	['628']
qmtp	['209']
qmtps	['6209']
qmvideo	['5689']
qnts-orb	['1262']
qnxnetman	['3385']
qo-secure	['7913']
qotd	['17']
qotps	['2724']
qpasa-agent	['2612']
qptlmd	['10055']
qrh	['752']
qsm-gui	['1165']
qsm-proxy	['1164']
qsm-remote	['1166']
qsnet-assist	['4356']
qsnet-cond	['4357']
qsnet-nucl	['4358']
qsnet-trans	['4354']
qsnet-workst	['4355']
qsoft	['3059']
qt-serveradmin	['1220']
qtms-bootstrap	['3850']
qtp	['2935']
quaddb	['2497']
quailnet	['5464']
quake	['26000']
quantastor	['8153']
quartus-tcl	['2589']
quasar-server	['3599']
qubes	['1341']
quest-agent	['3843']
quest-data-hub	['3566']
quest-disc	['7040']
quest-vista	['7980']
questdb2-lnchr	['5677']
questnotify	['3554']
queueadm	['2230']
quickbooksrds	['3790']
quicksuite	['2900']
quosa	['4841']
quotad	['762']
qvr	['5028']
qwave	['2177']
raadmin	['5676']
racf	['18136']
radan-http	['8088']
radclientport	['3178']
radec-corp	['5430']
radg	['6789']
radio	['1595']
radius	['1812']
radius-acct	['1813']
radius-dynauth	['3799']
radix	['2872']
radmin-port	['4899']
radmind	['6222']
radpdf	['18104']
rads	['12302']
radsec	['2083']
radware-rpm	['2188']
radware-rpm-s	['2189']
radwiz-nms-srv	['2736']
raid-	['2007','2013','2006']
railgun-webaccl	['2408']
ramp	['7227']
rancher	['9345']
rap	['38','256']
rap-ip	['3813']
rap-listen	['1531']
rap-service	['1530']
rapi	['2176']
rapidbase	['1953']
rapidmq-center	['3093']
rapidmq-reg	['3094']
rapido-ip	['2457']
raqmon-pdu	['7744']
rasadv	['9753']
ratio-adp	['1108']
ratl	['2449']
ravehd	['4037']
raven-rdp	['3533']
raven-rmp	['3532']
raventbs	['2713']
raventdm	['2714']
raw-serial	['2167']
raxa-mgmt	['6099']
razor	['3555']
rbakcup1	['2773']
rbakcup2	['2774']
rblcheckd	['3768']
rbr-debug	['44553']
rbr-discovery	['3553']
rbsystem	['5693']
rbt-smc	['7870']
rbt-wanopt	['7810']
rcc-host	['2332']
rcip-itu	['2225']
rcp	['469']
rcst	['3467']
rcts	['2258']
rda	['630']
rdb-dbs-disp	['1571']
rdc-wh-eos	['3142']
rdgs	['16385']
rdlap	['2321']
rdm-tfs	['21553']
rdrmshc	['1075']
rds	['1540']
rds-ib	['18634']
rds-ip	['18635']
rds2	['1541']
re-conn-proto	['1306']
re-mail-ck	['50']
re101	['1343']
reachout	['43188']
realm-rusd	['688']
realsecure	['2998']
rebol	['2997']
recipe	['2240']
redis	['6379']
redstone-cpss	['2928']
redstorm-diag	['2349']
redstorm-find	['2347']
redstorm-info	['2348']
redstorm-join	['2346']
redwood-chat	['3032']
reftek	['2543']
registrar	['1712']
relief	['1353']
reload-config	['6084']
remcap	['4731']
remctl	['4373']
remographlm	['2373']
remote-as	['1053']
remote-collab	['2250']
remote-kis	['185']
remote-winsock	['1745']
remotedeploy	['3789']
remotefs	['556']
remoteware-un	['2999']
repcmd	['641']
repliweb	['2837']
repscmd	['653']
repsvc	['6320']
res	['1942']
res-sap	['3163']
resacommunity	['1154']
rescap	['283']
resorcs	['4733']
resource-mgr	['3019']
responselogic	['2886']
responsenet	['3045']
restconf-ch-tls	['4336']
retp	['32811']
retrospect	['497']
rets	['6103']
rets-ssl	['12109']
reversion	['5842']
rexecj	['8230']
rfa	['4672']
rfb	['5900']
rfe	['5002']
rfid-rp1	['4684']
rfio	['3147']
rfmp	['2249']
rfx-lm	['1497']
rgtp	['1431']
rhp-iibp	['1912']
rib-slm	['3296']
ricardo-lm	['1522','6148']
rich-cp	['2057']
rid	['4590']
ridgeway1	['2776']
ridgeway2	['2777']
rimf-ps	['2209']
rimsl	['2044']
ripng	['521']
ris	['180']
ris-cm	['748']
rise	['7473']
rjcdb-vcards	['9208']
rje	['5']
rkb-oscs	['1817']
rlm-admin	['5054']
rlp	['39']
rlzdbase	['635']
rmc	['657']
rmiactivation	['1098']
rmiaux	['10990']
rmiregistry	['1099']
rmlnk	['2818']
rmonitor	['560']
rmonitor-secure	['5145']
rmopagt	['2959']
rmpp	['1121']
rmt	['411']
rmtserver	['2416']
rna	['25471']
rndc	['953']
rnm	['3844']
rnmap	['3418']
rnrp	['2423']
robcad-lm	['1509']
robix	['9599']
roboeda	['2920']
roboer	['2919']
robot-remote	['8270']
robotraconteur	['48653']
roce	['4791']
rockwell-csp2	['2223']
rocrail	['8051']
roketz	['1730']
rootd	['1094']
rothaga	['7117']
routematch	['1287']
roverlog	['3677']
rpc2portmap	['369']
rpi	['2214']
rpki-rtr	['323']
rpki-rtr-tls	['324']
rprt	['3064']
rrac	['5678']
rrdp	['5313']
rrh	['753']
rrifmm	['1696']
rrilwm	['1695']
rrimwm	['1694']
rrirtr	['1693']
rrisat	['1697']
rrp	['648']
rs-pias	['13217']
rs-rmi	['3736']
rs-status	['45002']
rsap	['1647']
rsc-robot	['1793']
rscd	['5750']
rsf-1	['1195']
rsh-spx	['222']
rsip	['4555']
rsisysaccess	['2752']
rsmtp	['2390']
rsom	['2889']
rsqlserver	['4430']
rsvd	['168']
rsvp-encap-1	['1698']
rsvp-encap-2	['1699']
rsvp-tunnel	['363']
rsync	['873']
rt-classmanager	['35004']
rt-devicemapper	['35003']
rt-event	['3706']
rt-event-s	['3707']
rt-helper	['35006']
rt-labtracker	['35005']
rt-sound	['35002']
rt-viewer	['35001']
rtc-pm-port	['3891']
rtcm-sc104	['2101']
rtelnet	['107']
rtimeviewer	['6900']
rtip	['771']
rtmp-port	['3500']
rtnt-1	['3137']
rtnt-2	['3138']
rtps-dd-mt	['7402']
rtps-dd-ut	['7401']
rtps-discovery	['7400']
rtraceroute	['3765']
rtsclient	['2501']
rtsp	['554']
rtsp-alt	['8554']
rtsps	['322']
rtsserv	['2500']
rugameonline	['5156']
rusb-sys-port	['3422']
rushd	['696']
rvs-isdn-dcp	['2578']
rwhois	['4321']
rwp	['30100']
rxapi	['10010']
rxe	['761']
rxmon	['1311']
s-bfd	['7784']
s-net	['166']
s-openmail	['5767']
s1-control	['36412']
s102	['23272']
s3db	['2278']
s8-client-port	['3153']
sa-msg-port	['1646']
sabams	['2760']
sabarsd	['8401']
sabp-signal	['3452']
sac	['8097']
sacred	['1118']
safetynetp	['40000']
saft	['487']
sage-best-com1	['14033']
sage-best-com2	['14034']
sagectlpanel	['3698']
sagxtsds	['4952']
sah-lm	['3291']
sais	['1426']
saiscm	['1501']
saiseh	['1644']
saism	['1436']
salient-dtasrv	['5409']
salient-mux	['5422']
salient-usrmgr	['5410']
samd	['3275']
samsung-disc	['30832']
samsung-unidex	['4010']
sanavigator	['4033']
sane-port	['6566']
sanity	['643']
santak-ups	['3038']
santools	['4079']
saphostctrl	['1128']
saphostctrls	['1129']
sapv1	['9875']
saratoga	['7542']
saris	['4442']
sas-remote-hlp	['3755']
sasg	['3744']
sasggprs	['3964']
sasp	['3860']
satvid-datalnk	['3367-3371']
sauterdongle	['25576']
savant	['3391']
sbackup	['5163']
sbcap	['29168']
sbi-agent	['3962']
sbl	['1039']
sbook	['1349']
scaleft	['4421']
scan-change	['2719']
scanstat-1	['1215']
scc-security	['582']
sccip-media	['3499']
sceanics	['5435']
scenccs	['7129']
scenidm	['7128']
scientia-sdb	['1811']
scientia-ssdb	['2121']
scinet	['7708']
scintilla	['19007']
scipticslsrvr	['2577']
sco-aip	['5307']
sco-dtmgr	['617']
sco-inetmgr	['615']
sco-peer-tta	['5427']
sco-sysmgr	['616']
sco-websrvrmg3	['598']
sco-websrvrmgr	['620']
scohelp	['457']
scoi2odialog	['360']
scol	['1200']
scoremgr	['2034']
scotty-disc	['14002']
scotty-ft	['14000']
scp	['3820']
scp-config	['10001']
scpi-raw	['5025']
scpi-telnet	['5024']
scrabble	['2026']
screencast	['1368']
scriptview	['7741']
scscp	['26133']
scservp	['3637']
scte104	['5167']
scte30	['5168']
sctp-tunneling	['9899']
scx-proxy	['470']
sd	['9876']
sd-data	['2385']
sd-elmd	['1681']
sdbproxy	['3562']
sdclient	['2310']
sddp	['1163']
sde-discovery	['5152']
sdfunc	['2046']
sdhelp	['2308']
sdl-ets	['5081']
sdmmp	['5573']
sdnskmp	['558']
sdo	['3635']
sdo-ssh	['3897']
sdo-tls	['3896']
sdp-id-port	['3242']
sdp-portmapper	['3935']
sdproxy	['1297']
sdr	['9010']
sds	['5059']
sds-admin	['2705']
sdsc-lm	['1537']
sdserver	['2309']
sdt	['5568']
sdt-lmd	['3319']
sdtvwcam	['24666']
seagull-ais	['1208']
seagulllms	['1291']
seaodbc	['2471']
search-agent	['1234']
seaview	['3143']
sec-ntb-clnt	['32635']
sec-pc2fax-srv	['9402']
sec-t4net-clt	['9401']
sec-t4net-srv	['9400']
seclayer-tcp	['3495']
seclayer-tls	['3496']
secrmmsafecopya	['38865']
secure-cfg-svr	['3978']
secure-mqtt	['8883']
secure-ts	['9318']
securitychase	['5399']
seispoc	['2254']
semantix	['361']
semaphore	['3255']
send	['169']
senip	['3898']
senomix01	['8052']
senomix02	['8053']
senomix03	['8054']
senomix04	['8055']
senomix05	['8056']
senomix06	['8057']
senomix07	['8058']
senomix08	['8059']
sent-lm	['2316']
sentinel	['3588']
sentinel-ent	['3712']
sentinel-lm	['5093']
sentinelsrm	['1947']
sentlm-srv2srv	['5099']
sep	['2089']
seraph	['4076']
sercomm-scadmin	['6108']
sercomm-wlink	['2235']
serialgateway	['1243']
server-find	['8351']
serverdocs	['10548']
servergraph	['1251']
serverstart	['9213']
serverview-as	['3169']
serverview-asn	['3170']
serverview-gf	['3171']
serverview-icc	['3173']
serverview-rm	['3172']
serverviewdbms	['9212']
serverwsd2	['5362']
service-ctrl	['2367']
servicemeter	['2603']
servicetags	['6481']
servistaitsm	['3636']
servstat	['633']
sesi-lm	['1714']
set	['257']
sf-lm	['4546']
sflm	['3162']
sflow	['6343']
sfm-db-server	['5636']
sfmsso	['5635']
sfs-config	['452']
sfs-smp-net	['451']
sftdst-port	['3230']
sftp	['115']
sftsrv	['1303']
sftu	['3326']
sg-lm	['1659']
sgcip	['16950']
sgcp	['440']
sge-execd	['6445']
sge-qmaster	['6444']
sgi-arrayd	['5434']
sgi-dmfmgr	['11109']
sgi-esphttp	['5554']
sgi-eventmond	['5553']
sgi-lk	['11106']
sgi-soap	['11110']
sgi-storman	['1178']
sgmp	['153']
sgmp-traps	['160']
sgsap	['29118']
shadowserver	['2027']
shadowstream	['4366']
shareapp	['3595']
sharp-server	['3617']
shiprush-d-ch	['5841']
shiprush-db-svr	['3841']
shiva-confsrvr	['1651']
shivadiscovery	['1502']
shockwave	['1626']
shockwave2	['1257']
shofar	['4105']
shrinkwrap	['358']
sia-ctrl-plane	['4787']
siam	['498']
siebel-ns	['2320']
siemensgsm	['28240']
sieve	['4190']
sift-uft	['608']
sightline	['1645']
sigma-port	['3614']
signacert-agent	['5032']
signal	['2974']
signet-ctf	['2733']
siipat	['1733']
silc	['706']
silhouette	['7500']
silkmeter	['5461']
silkp1	['2829']
silkp2	['2830']
silkp3	['2831']
silkp4	['2832']
silverpeakcomm	['4164']
silverpeakpeer	['4163']
silverplatter	['416']
sim-control	['3110']
simba-cs	['1543']
simbaexpress	['1583']
simbaservices	['1599']
simco	['7626']
simctlp	['2857']
simp-all	['1959']
simple-push	['3687']
simple-push-s	['3688']
simple-tx-rx	['2257']
simplement-tie	['2756']
simplifymedia	['8087']
simslink	['2676']
sip	['5060']
sips	['5061']
sis-emt	['2545']
sitaradir	['2631']
sitaramgmt	['2630']
sitaraserver	['2629']
sitewatch	['3792']
sitewatch-s	['3766']
six-degrees	['3611']
sixchat	['4605']
sixnetudr	['1658']
sixtrak	['1594']
sixxsconfig	['3874']
skip-cert-recv	['6455']
skip-cert-send	['6456']
skip-mc-gikreq	['1660']
skronk	['460']
sky-transport	['3556']
skytelnet	['1618']
slc-ctrlrloops	['2827']
slc-systemlog	['2826']
slim-devices	['3483']
slingshot	['1705']
slinkysearch	['1225']
slinterbase	['3065']
slm-api	['1606']
slmap	['36423']
slp	['1605']
slp-notify	['1847']
slscc	['4408']
slslavemon	['3102']
slush	['1966']
sm-pas-1	['2938']
sm-pas-2	['2939']
sm-pas-3	['2940']
sm-pas-4	['2941']
sm-pas-5	['2942']
sma-spw	['9522']
smaclmgr	['4660']
smakynet	['122']
smallchat	['4412']
smap	['3731']
smar-se-port1	['4987']
smar-se-port2	['4988']
smart-diagnose	['2721']
smart-install	['4786']
smart-lm	['1608']
smartcard-port	['3516']
smartcard-tls	['4116']
smartpackets	['3218']
smartsdp	['426']
smauth-port	['3929']
smbdirect	['5445']
smc-admin	['6787']
smc-http	['6788']
smc-jmx	['6786']
smile	['3670']
smip	['7734']
smntubootstrap	['2613']
smpnameres	['901']
smpp	['2775']
smpppd	['3185']
smpte	['420']
sms-chat	['2703']
sms-rcinfo	['2701']
sms-remctrl	['2704']
sms-xfer	['2702']
smsd	['596']
smsp	['413']
smsqp	['11201']
smtp	['25']
smux	['199']
smwan	['3979']
sna-cs	['1553']
snac	['3536']
snagas	['108']
snap	['4752']
snapd	['2599']
snapenetio	['22000']
snapp	['2333']
snare	['509']
snaresecure	['1684']
sncp	['7560']
snifferclient	['2452']
snifferdata	['2892']
snifferserver	['2533']
snip-slave	['33656']
snmp	['161']
snmp-tcp-port	['1993']
snmpssh	['5161']
snmpssh-trap	['5162']
snmptrap	['162']
snpp	['444']
sns-admin	['2658']
sns-agent	['5417']
sns-channels	['3380']
sns-dispatcher	['2657']
sns-gateway	['5416']
sns-protocol	['2409']
sns-query	['2659']
sns-quote	['1967']
snss	['11171']
sntlkeyssrvr	['9450']
sntp-heartbeat	['580']
soagateway	['5250']
soap-beep	['605']
soap-http	['7627']
socalia	['5100']
social-alarm	['5146']
socks	['1080']
socorfs	['3379']
socp-c	['4882']
socp-t	['4881']
softaudit	['3419']
softcm	['6110']
softdataphone	['1621']
softpc	['215']
softrack-meter	['3884']
solaris-audit	['16162']
solera-epmap	['2132']
solera-lpn	['4738']
solid-e-engine	['1964']
solid-mux	['1029']
solve	['2636']
sonar	['572']
sonardata	['2863']
soniqsync	['3803']
sonus	['2653']
sonus-logging	['2290']
sonuscallsig	['2569']
sophia-lm	['1408']
sops	['3944']
sor-update	['3922']
sos	['3838']
sossd-collect	['7981']
sossecollector	['3166']
soundsvirtual	['17185']
spamtrap	['2568']
spandataport	['3193']
spc	['6111']
spcsdlobby	['2888']
spdp	['5794']
spdy	['6121']
spearway	['2440']
spectardata	['3834']
spectardb	['3835']
spectraport	['3851']
spg	['7016']
sphinxapi	['9312']
sphinxql	['9306']
spice	['1923']
spike	['4683']
spiral-admin	['3438']
splitlock	['3606']
splitlock-gw	['3647']
spmp	['656']
spock	['2507']
spocp	['4751']
spramsca	['5769']
spramsd	['5770']
spremotetablet	['46998']
sps-tunnel	['2876']
spsc	['478']
spss	['5443']
spss-lm	['1759']
spt-automation	['5814']
sptx	['40404']
spugna	['3807']
spw-dialer	['3796']
spw-dnspreload	['3849']
spytechphone	['8192']
sqdr	['2728']
sql-net	['66','150']
sqlexec	['9088']
sqlexec-ssl	['9089']
sqlserv	['118']
sqlsrv	['156']
src	['200']
srcp	['4303']
srdp	['3942']
srmp	['193']
srp-feedback	['2737']
srssend	['362']
sruth	['38800']
srvc-registry	['3018']
ss-idi	['20013']
ss-idi-disc	['20012']
ss7ns	['477']
ssad	['4750']
ssc-agent	['2967']
sscan	['3853']
ssdispatch	['3430']
ssdp	['1900']
ssdtp	['6071']
sse-app-config	['3852']
ssh	['22']
ssh-mgmt	['17235']
sshell	['614']
sslp	['1750']
ssm-cssps	['2478']
ssm-cvs	['2477']
ssm-els	['2479']
ssmpp	['3550']
sso-control	['2711']
sso-service	['2710']
ssowatch	['3644']
ssp	['3249']
ssp-client	['7801']
ssports-bcast	['8808']
ssql	['3352']
ssr-servermgr	['45966']
ssrip	['3318']
ssslic-mgr	['1203']
ssslog-mgr	['1204']
sst	['266']
sstp-1	['7743']
sstp-2	['9801']
sstsys-lm	['1692']
stanag-5066	['5066']
starbot	['2838']
starfish	['3981']
stargatealerts	['1654']
starquiz-port	['3526']
stars	['4131']
starschool	['2270']
start-network	['3615']
startron	['1057']
stat-cc	['4158']
stat-results	['4156']
stat-scanner	['4157']
statsci1-lm	['6144']
statsci2-lm	['6145']
statsrv	['133']
statusd	['5414']
stdptc	['2154']
ste-smsc	['1836']
stgxfws	['1226']
sti-envision	['1312']
stm-pproc	['3080']
stmf	['501']
stone-design-1	['1492']
stonefalls	['2986']
storageos	['5705']
storman	['4178']
storview	['9293']
streamcomm-ds	['9612']
street-stream	['1736']
streetperfect	['1330']
streettalk	['566']
streletz	['6344']
stresstester	['5397']
strexec-d	['5026']
strexec-s	['5027']
stryker-com	['3854']
stss	['3090']
stt	['1607']
sttunnel	['7471']
stun-p1	['1990']
stun-p2	['1991']
stun-port	['1994']
stvp	['3158']
stx	['527']
su-mit-tg	['89']
sua	['14001']
submission	['587']
submitserver	['2028']
subntbcst-tftp	['247']
sugp	['1905']
suitcase	['2903']
suitjd	['3354']
sum	['6551']
sun-as-iiops	['3708']
sun-as-iiops-ca	['3808']
sun-as-jmxrmi	['8686']
sun-as-jpda	['9191']
sun-as-nodeagt	['4850']
sun-dr	['665']
sun-lm	['7588']
sun-mc-grp	['5306']
sun-sea-port	['16161']
sun-sr-admin	['6489']
sun-sr-http	['6480']
sun-sr-https	['6443']
sun-sr-iiop	['6485']
sun-sr-iiop-aut	['6487']
sun-sr-iiops	['6486']
sun-sr-jms	['6484']
sun-sr-jmx	['6488']
sun-user-https	['7677']
suncacao-csa	['11164']
suncacao-jmxmp	['11162']
suncacao-rmi	['11163']
suncacao-snmp	['11161']
suncacao-websvc	['11165']
sunclustergeo	['2084']
sunclustermgr	['1097']
sunfm-port	['3934']
sunlps-http	['3816']
sunproxyadmin	['8081']
sunrpc	['111']
sunscalar-dns	['1870']
sunscalar-svc	['1860']
sunwebadmin	['8800']
sunwebadmins	['8989']
supdup	['95']
supercell	['7967']
supermon	['2709']
supportassist	['5700']
sur-meas	['243']
surebox	['5453']
surf	['1010']
surfcontrolcpa	['3909']
surfpass	['5030']
surveyinst	['3212']
suucp	['4031']
svbackup	['8405']
svcloud	['8404']
svn	['3690']
svnet	['3413']
svnetworks	['2973']
svrloc	['427']
svs-omagent	['1625']
sw-orion	['17777']
swa-1	['9023']
swa-2	['9024']
swa-3	['9025']
swa-4	['9026']
swarm	['2377']
swdtp	['10104']
swdtp-sv	['10009']
sweetware-apps	['1221']
swift-rvf	['97']
swiftnet	['1751']
swismgr1	['6963']
swismgr2	['6964']
swispol	['6966']
swistrap	['6965']
swldy-sias	['1250']
swr-port	['3491']
swrmi	['1866']
swtp-port1	['9281']
swtp-port2	['9282']
swx	['7300-7359']
swx-gate	['4538']
swxadmin	['5043']
sxmp	['3273']
sxuptp	['19540']
syam-agent	['3894']
syam-smc	['3895']
syam-webserver	['3930']
sybase-sqlany	['1498']
sybaseanywhere	['2638']
sybasedbsynch	['2439']
sybasesrvmon	['4950']
sychrond	['3723']
symantec-sfdb	['5629']
symantec-sim	['3547']
symb-sb-port	['3923']
symplex	['1507']
synapse	['2880']
synapse-nhttp	['8280']
synapse-nhttps	['8243']
synapsis-edge	['5008']
sync-em7	['7707']
synchromesh	['4548']
synchronet-db	['6100']
